id,Age,Gender,Annual Income,Marital Status,Number of Dependents,Education Level,Occupation,Health Score,Location,Policy Type,Previous Claims,Vehicle Age,Credit Score,Insurance Duration,Policy Start Date,Customer Feedback,Smoking Status,Exercise Frequency,Property Type,Premium Amount
65,54.0,Male,6841.0,Divorced,1.0,PhD,Unemployed,14.893776085341344,Urban,Premium,0.0,15.0,331.0,2.0,2022-01-24 15:21:39.088124,Poor,No,Daily,Condo,2160.0
66,43.0,Male,5881.0,Single,3.0,Master's,,20.61161192112367,Urban,Comprehensive,0.0,18.0,679.0,7.0,2023-06-14 15:21:39.237118,Good,No,Rarely,Apartment,2979.0
67,45.0,Male,,Married,3.0,High School,Self-Employed,17.988631364333468,Suburban,Comprehensive,,18.0,375.0,9.0,2022-05-25 15:21:39.237118,Average,Yes,Rarely,House,829.0
68,53.0,Male,21313.0,Single,1.0,High School,Self-Employed,21.161960698769622,Rural,Premium,2.0,7.0,321.0,1.0,2022-12-22 15:21:39.134960,Good,No,Daily,Apartment,2453.0
69,22.0,Female,73693.0,Married,2.0,Master's,Self-Employed,,Rural,Premium,1.0,1.0,498.0,1.0,2023-07-01 15:21:39.134960,Poor,Yes,Weekly,Apartment,588.0
70,62.0,Male,11977.0,Married,2.0,PhD,Employed,,Suburban,Comprehensive,3.0,0.0,,8.0,2021-12-31 15:21:39.167099,Poor,Yes,Monthly,House,690.0
71,30.0,Female,2490.0,Married,1.0,Bachelor's,Self-Employed,,Suburban,Basic,2.0,0.0,531.0,8.0,2022-03-31 15:21:39.168099,Good,Yes,Rarely,Condo,807.0
72,64.0,Female,5904.0,Married,0.0,Bachelor's,,26.64759878459992,Suburban,Premium,0.0,1.0,622.0,6.0,2022-01-09 15:21:39.237118,Average,Yes,Monthly,Apartment,981.0
73,33.0,Male,3795.0,Married,0.0,High School,,37.27954467704732,Urban,Basic,1.0,15.0,464.0,9.0,2021-05-12 15:21:39.181605,Good,Yes,Daily,Apartment,735.0
74,23.0,Male,7515.0,Single,0.0,Master's,Self-Employed,22.52720580349861,Suburban,Comprehensive,2.0,4.0,418.0,9.0,2019-11-12 15:21:39.081504,Average,No,Daily,Condo,3564.0
75,45.0,Male,76766.0,Married,1.0,Bachelor's,Employed,14.58288222840314,Suburban,Basic,0.0,1.0,,6.0,2024-04-02 15:21:39.267454,Poor,No,Rarely,Condo,233.0
76,47.0,Female,2558.0,Single,0.0,High School,,10.004490056521096,Rural,Comprehensive,0.0,3.0,685.0,8.0,2022-09-03 15:21:39.091080,Poor,No,Monthly,Condo,2226.0
77,34.0,Female,8072.0,Married,0.0,Bachelor's,,25.988399027761567,Suburban,Comprehensive,2.0,17.0,703.0,1.0,2022-07-29 15:21:39.155231,Poor,No,Daily,House,561.0
78,53.0,Female,25170.0,Married,2.0,PhD,,19.39499831310628,Urban,Basic,0.0,3.0,,4.0,2022-01-06 15:21:39.172097,Good,Yes,Weekly,Condo,793.0
79,27.0,Male,948.0,Single,3.0,Master's,,37.47954132171145,Rural,Basic,,16.0,534.0,9.0,2020-06-24 15:21:39.216387,,No,Rarely,House,514.0
80,27.0,Male,39681.0,Single,0.0,Master's,Employed,7.988788026450737,Suburban,Premium,,15.0,454.0,1.0,2020-11-27 15:21:39.091080,Average,No,Daily,House,115.0
81,56.0,Male,5200.0,Divorced,4.0,Master's,Unemployed,38.5901156873342,Suburban,Basic,,0.0,502.0,6.0,2024-04-19 15:21:39.118178,Poor,Yes,Rarely,Apartment,49.0
82,45.0,Female,23228.0,Single,1.0,High School,,20.23887945463715,Suburban,Premium,,14.0,823.0,9.0,2020-11-14 15:21:39.192212,Average,No,Daily,House,1032.0
83,,Male,645.0,Single,3.0,PhD,Employed,30.766284375676637,Urban,Comprehensive,1.0,18.0,319.0,4.0,2022-11-12 15:21:39.123711,Good,No,Weekly,House,934.0
84,21.0,Female,27208.0,Married,0.0,PhD,,30.29190384406259,Suburban,Basic,1.0,15.0,660.0,2.0,2024-06-11 15:21:39.236064,Poor,No,Daily,Condo,1196.0
85,61.0,Female,19542.0,Married,1.0,Bachelor's,Employed,20.78171123924755,Urban,Comprehensive,1.0,17.0,371.0,5.0,2023-03-15 15:21:39.117183,Poor,No,Monthly,Apartment,903.0
86,37.0,Male,,Single,1.0,Bachelor's,,13.0382686038979,Suburban,Comprehensive,,6.0,562.0,2.0,2023-02-02 15:21:39.237118,Average,No,Weekly,House,61.0
87,52.0,Male,,Married,2.0,PhD,Unemployed,28.86441030015436,Rural,Comprehensive,0.0,18.0,488.0,1.0,2021-02-13 15:21:39.172097,Average,No,Weekly,Apartment,369.0
88,45.0,Male,87092.0,Single,1.0,Bachelor's,,16.71544944805362,Rural,Basic,1.0,12.0,577.0,7.0,2021-11-11 15:21:39.134960,Poor,No,Rarely,Condo,112.0
89,38.0,Female,,Single,3.0,Bachelor's,Employed,40.16146002469649,Suburban,Comprehensive,1.0,1.0,502.0,4.0,2022-06-25 15:21:39.089116,Poor,Yes,Monthly,Apartment,2728.0
90,19.0,Female,68892.0,Married,3.0,Bachelor's,Employed,41.80267030547587,Urban,Premium,,3.0,795.0,1.0,2022-10-15 15:21:39.177724,,No,Monthly,House,37.0
91,63.0,Female,915.0,Single,1.0,PhD,Employed,22.96414544532541,Rural,Premium,1.0,17.0,584.0,7.0,2022-09-22 15:21:39.134960,Poor,No,Monthly,House,3664.0
92,53.0,Female,1170.0,Single,0.0,PhD,Employed,38.59663905255338,Rural,Premium,0.0,13.0,791.0,6.0,2019-08-25 15:21:39.134960,Average,No,Daily,Condo,2096.0
93,33.0,Male,43974.0,Divorced,,Bachelor's,Self-Employed,39.05648818673042,Suburban,Basic,,16.0,638.0,5.0,2022-09-27 15:21:39.109552,Average,Yes,Weekly,Apartment,3227.0
94,21.0,Female,43481.0,Divorced,3.0,Master's,,24.75443497976334,Rural,Comprehensive,,18.0,486.0,5.0,2024-07-04 15:21:39.175719,,No,Monthly,Apartment,1313.0
95,32.0,Female,27962.0,Single,2.0,Master's,Self-Employed,45.39134918171405,Urban,Basic,0.0,8.0,438.0,2.0,2022-07-13 15:21:39.229482,Average,Yes,Rarely,Condo,2344.0
96,46.0,Female,15704.0,Single,2.0,PhD,Unemployed,45.98120277101578,Urban,Comprehensive,,0.0,779.0,4.0,2023-01-17 15:21:39.256696,Average,Yes,Weekly,House,2671.0
97,36.0,Female,2693.0,Married,3.0,Master's,Employed,14.011567635774558,Rural,Premium,1.0,18.0,310.0,4.0,2024-06-12 15:21:39.196387,Poor,No,Monthly,Condo,1078.0
98,43.0,Female,5813.0,Divorced,2.0,Bachelor's,Unemployed,29.441474404927497,Urban,Comprehensive,1.0,13.0,748.0,5.0,2024-07-06 15:21:39.122134,Poor,Yes,Weekly,Apartment,837.0
99,20.0,Male,2449.0,Single,0.0,Master's,,10.910045877339575,Rural,Basic,,13.0,392.0,6.0,2023-06-06 15:21:39.149731,Average,Yes,Rarely,Condo,2349.0
100,51.0,Male,82546.0,Divorced,,Bachelor's,Employed,,Rural,Premium,,3.0,446.0,5.0,2023-03-30 15:21:39.097737,Good,No,Monthly,Apartment,3378.0
101,39.0,Female,,Married,0.0,High School,,24.534292789133712,Suburban,Basic,,7.0,,5.0,2024-04-23 15:21:39.155231,Good,No,Daily,House,164.0
102,63.0,Female,31400.0,Married,4.0,Bachelor's,Employed,15.936011527150502,Suburban,Basic,0.0,0.0,593.0,2.0,2020-11-22 15:21:39.259788,Average,No,Monthly,Apartment,657.0
103,34.0,Female,4098.0,Single,1.0,Master's,,43.69503090137101,Rural,Basic,0.0,5.0,576.0,4.0,2020-06-30 15:21:39.222387,,No,Rarely,House,954.0
104,51.0,Male,56415.0,Married,1.0,High School,,51.96085902549513,Suburban,Premium,0.0,3.0,493.0,2.0,2022-04-15 15:21:39.155231,Poor,No,Rarely,Condo,993.0
105,44.0,Female,20705.0,Divorced,1.0,Bachelor's,Self-Employed,15.363098671427672,Suburban,Comprehensive,4.0,9.0,479.0,9.0,2023-12-22 15:21:39.151732,Poor,No,Monthly,House,619.0
106,32.0,Female,45301.0,Married,2.0,Master's,,20.318749679850157,Rural,Basic,,10.0,826.0,5.0,2022-07-08 15:21:39.173834,Good,No,Rarely,House,607.0
107,19.0,Male,43953.0,Divorced,4.0,Master's,Unemployed,31.715603468306565,Urban,Premium,0.0,3.0,,3.0,2020-03-27 15:21:39.170099,Poor,Yes,Rarely,House,616.0
108,62.0,Female,44674.0,Single,0.0,Master's,Unemployed,40.83418317346455,Urban,Premium,0.0,5.0,332.0,1.0,2020-04-29 15:21:39.101733,Average,Yes,Daily,Condo,632.0
109,49.0,Male,25863.0,Divorced,2.0,Bachelor's,Employed,,Suburban,Comprehensive,1.0,0.0,616.0,5.0,2020-09-22 15:21:39.130190,,No,Monthly,Apartment,2045.0
110,45.0,Female,18582.0,Divorced,2.0,High School,Employed,34.396583132583345,Suburban,Basic,1.0,14.0,716.0,2.0,2021-05-30 15:21:39.155231,Poor,No,Daily,Condo,541.0
111,40.0,Male,14079.0,Single,2.0,PhD,Unemployed,36.56738626656398,Suburban,Premium,0.0,17.0,602.0,3.0,2023-01-01 15:21:39.179186,Average,No,Monthly,Apartment,1461.0
112,55.0,Female,21223.0,Single,4.0,Master's,Employed,18.86964781402457,Urban,Comprehensive,3.0,6.0,343.0,8.0,2022-03-02 15:21:39.222387,Average,Yes,Rarely,Apartment,555.0
113,55.0,Male,140988.0,Married,0.0,Bachelor's,Unemployed,30.164884345394867,Urban,Comprehensive,1.0,4.0,377.0,7.0,2019-12-29 15:21:39.088124,Poor,No,Daily,Condo,2411.0
114,38.0,Male,3718.0,Single,1.0,PhD,,38.71149999266115,Rural,Comprehensive,2.0,7.0,788.0,8.0,2023-12-03 15:21:39.196387,Average,Yes,Weekly,House,3111.0
115,39.0,Female,36373.0,Divorced,2.0,Master's,Employed,13.518570820212062,Rural,Comprehensive,1.0,0.0,748.0,4.0,2021-04-10 15:21:39.148733,Average,No,Rarely,Apartment,454.0
116,57.0,Male,17001.0,Divorced,1.0,PhD,Employed,14.894765797220275,Rural,Premium,0.0,6.0,,3.0,2021-09-07 15:21:39.134960,,No,Daily,Condo,1055.0
117,42.0,Male,32002.0,Single,,High School,Unemployed,28.98762713598871,Urban,Comprehensive,2.0,7.0,,4.0,2021-10-30 15:21:39.134960,Good,No,Weekly,Condo,549.0
118,39.0,Female,648.0,Single,3.0,Bachelor's,Employed,,Rural,Comprehensive,1.0,14.0,758.0,4.0,2024-06-23 15:21:39.081504,Good,No,Weekly,Apartment,1405.0
119,64.0,Male,18069.0,Married,4.0,High School,Employed,20.18243360346908,Urban,Basic,,3.0,,5.0,2023-01-28 15:21:39.155231,Good,No,Rarely,Apartment,638.0
120,18.0,Male,1288.0,Single,2.0,Bachelor's,Unemployed,34.7379713753606,Suburban,Premium,1.0,7.0,571.0,2.0,2023-04-15 15:21:39.134960,,Yes,Weekly,Apartment,2120.0
121,34.0,Female,8072.0,Married,1.0,High School,,,Urban,Premium,,8.0,,3.0,2020-05-18 15:21:39.223901,Poor,No,Monthly,House,1186.0
122,32.0,Male,53491.0,Single,1.0,PhD,Unemployed,51.12643531327101,Suburban,Basic,1.0,12.0,554.0,8.0,2020-09-25 15:21:39.179186,Average,No,Weekly,House,1042.0
123,24.0,Male,128516.0,Divorced,0.0,PhD,Self-Employed,51.89748496415058,Rural,Basic,0.0,4.0,682.0,9.0,2021-07-11 15:21:39.170099,Good,Yes,Monthly,Apartment,526.0
124,38.0,Male,13287.0,Single,4.0,Master's,Unemployed,46.24282906312004,Suburban,Premium,,19.0,641.0,6.0,2021-08-11 15:21:39.225916,Average,No,Weekly,House,154.0
125,18.0,Male,123331.0,Married,,Master's,,11.16672696303736,Rural,Premium,0.0,11.0,360.0,2.0,2022-02-11 15:21:39.248098,Average,Yes,Daily,Condo,1753.0
126,48.0,Female,39766.0,Divorced,1.0,Bachelor's,,16.75383415493644,Urban,Comprehensive,,6.0,,2.0,2022-06-05 15:21:39.180553,Poor,Yes,Weekly,Apartment,602.0
127,20.0,Male,54532.0,Divorced,4.0,High School,Employed,50.09765165719381,Rural,Premium,1.0,16.0,638.0,4.0,2023-02-01 15:21:39.194829,Good,Yes,Rarely,House,2034.0
128,63.0,Female,24983.0,Married,1.0,High School,Unemployed,42.7539262709189,Urban,Premium,0.0,2.0,522.0,7.0,2021-03-28 15:21:39.081504,Poor,No,Weekly,Apartment,902.0
